,real_latitude,real_longitude,predicted_latitude,predicted_longitude,error[meters]
0,2.450782,-76.627605,2.4512183129004,-76.62845494188,106.18753319153465
1,2.450682,-76.627653,2.4516134570624,-76.62901244432,183.1799260783623
2,2.450601,-76.627869,2.4520676496003,-76.62946811856,241.22418250561464
3,2.450916,-76.628105,2.4524169182993,-76.62987153465,257.6920777117236
4,2.451404,-76.628366,2.452678993895,-76.63036041272,263.11561348104397
5,2.451746,-76.62864,2.45278595037,-76.63092812928,279.34067040807554
6,2.452017,-76.628906,2.4527634083329,-76.63138657278,287.88272150087926
7,2.452344,-76.629331,2.4526367439848,-76.63155652541,249.44441116337444
8,2.4529296,-76.629443,2.4524653931246,-76.63137843793,221.18504728349996
9,2.45329,-76.629643,2.4522716384401,-76.63103401861,191.6338213050187
10,2.453658,-76.629883,2.451991898814,-76.63067838266,205.31319929918988
11,2.453922,-76.630056,2.4516604889241,-76.6301875216,251.96366613813203
12,2.453916,-76.630294,2.4513725862011,-76.62974918073,289.30030731601585
13,2.453799,-76.630545,2.4511198653213,-76.62925593661,330.6321961687492
14,2.453704,-76.630732,2.4508617600101,-76.62875299877,385.1000206091304
15,2.453437,-76.631128,2.4506892111272,-76.62823611666,443.4850021659608
16,2.453162,-76.631536,2.4505679157351,-76.62773173537,511.82473912093917
17,2.452866,-76.631963,2.4504670256839,-76.62729920413,582.9176190204173
18,2.452553,-76.631832,2.4504046884824,-76.62690870347,597.0037424470046
19,2.452284,-76.631302,2.4503376579137,-76.62656586404,569.0851122039685
20,2.451959,-76.63064,2.4502635309951,-76.62625216679,522.7927992685713
21,2.451667,-76.630104,2.4501586637222,-76.62590554114,495.79848163152656
22,2.451321,-76.62946,2.4500302490337,-76.62560413326,451.8930619450552
23,2.45103,-76.628936,2.449898696006,-76.62535067865,417.81534522695677
24,2.450726,-76.628363,2.4497353849718,-76.62505297767,383.97299450020313
25,2.450467,-76.62775,2.4495344965827,-76.62474572333,349.58943420887897
26,2.450415,-76.62724,2.4492764040788,-76.62437084706,343.0640331578096
27,2.450246,-76.62573,2.4484528315368,-76.6230896452,354.7785516064804
28,2.449975,-76.625278,2.4482540464912,-76.62274326729,340.556200010744
29,2.449946,-76.625262,2.4480855471383,-76.62240921275,378.57505735201295
30,2.449951,-76.625262,2.4479091968681,-76.62202938159,424.9906335266179
31,2.449952,-76.625264,2.4477347466245,-76.62163487529,472.71442300309525
32,2.449952,-76.625263,2.4475410802575,-76.62120582175,524.5728299441162
33,2.449952,-76.625263,2.4472517265663,-76.62059980129,598.9429224487518
34,2.449953,-76.625264,2.4468660806695,-76.61981603305,695.9889462237524
35,2.449681,-76.624808,2.4464974800471,-76.61905082764,731.217391452651
36,2.44926,-76.624184,2.4462021804013,-76.61836808257,730.3210029451219
37,2.448874,-76.623553,2.4459278955138,-76.61771910802,726.4000403371132
38,2.448391,-76.622806,2.4457038157806,-76.61715503005,695.4640132016009
39,2.447988,-76.622089,2.4455289919887,-76.61671625318,656.710973611191
40,2.447732,-76.621582,2.4453920912174,-76.61633229431,638.7948430269746
41,2.44764,-76.621253,2.4452964576241,-76.61599098049,640.2092198701131
42,2.447633,-76.621196,2.4452437248489,-76.61571954611,664.0639879331641
43,2.447582,-76.621036,2.4452262627013,-76.61552880128,665.7193979609508
44,2.451494,-76.626998,2.4507205005975,-76.62728734998,91.84566260710876
45,2.451203,-76.627216,2.4506654683992,-76.62764877954,76.7296644299483
46,2.45062,-76.627674,2.4509351611777,-76.62772478563,35.50558231888543
47,2.450575,-76.627737,2.4512583631449,-76.62816967577,89.93873962586457
48,2.450584,-76.627763,2.4515912629588,-76.62835733796,130.0524813786476
49,2.450579,-76.627762,2.4519655332435,-76.62879476665,192.2358719676061
50,2.450653,-76.62805,2.4526046529866,-76.629635434,279.5731600965167
51,2.451161,-76.628284,2.4527444454218,-76.63038519683,292.46896542566077
52,2.451786,-76.628718,2.4525786673681,-76.63075676357,243.10686123704636
53,2.452224,-76.629122,2.4525945799907,-76.63111273373,225.02626945271635
54,2.452628,-76.629409,2.4525083917322,-76.63124837617,204.83201691859605
